Customer_Id	Customer_Name	SSN	Contact_Number	Email	Loyalty_Category
1021	Iyana Arellano	830950972	+1 229-695-1801	iyanarellano@gmail.com	2star
1022	Gilbert Orozco	283238926	+1 406-365-2988	gilbertrozco@gmail.com	2star
1023	Mohammad Richardson	736005401	+1 325-960-8663	mohammadichardson@gmail.com	2star
1024	Andrea Vance	364727040	+1 205-660-1647	andreaance@gmail.com	2star
1025	Jamari Riddle	725893306	+1 218-928-5909	jamariiddle@gmail.com	3star
1026	Shyla Hill	190657870	+1 582-333-1820	shylaill@gmail.com	2star
1027	Marlon Baxter	315319331	+1 210-238-4469	marlonaxter@gmail.com	2star
1028	Jamir Travis	728276172	+1 510-577-6075	jamirravis@gmail.com	2star
1029	Amani Palmer	189492381	+1 207-299-2059	amanialmer@gmail.com	2star
1030	Ramon Foley	731516482		ramonoley@gmail.com	2star
1031	Matthias Munoz	759173789	+1 269-834-5809	matthiasunoz@gmail.com	2star
1032	Luna Barton	635333139	+1 716-899-1734	lunaarton@gmail.com	2star
1033	Joshua Shaffer	327377266	+1 219-842-9272	joshuahaffer@gmail.com	2star
1034	Brooke Orozco	953404695	+1 301-639-2372	brookerozco@gmail.com	2star
1035	Tia Chandler	521610610	+1 582-482-9475	tiahandler@gmail.com	2star
1036	Avah Sanford	660137067	+1 202-577-5690	avahanford@gmail.com	2star
1037	Frances Pennington	895256370	+1 220-612-2376	francesennington@gmail.com	2star
1038	King Booth	987514472	+1 582-282-0300	kingooth@gmail.com	2star
1039	Peyton Mcclure	982439712	+1 507-318-2207	peytoncclure@gmail.com	2star
1040	Sienna Khan	149845943	+1 337-268-3330	siennahan@gmail.com	2star
1041	Valentino Chung	427271801	+1 219-747-8211	valentinohung@gmail.com	2star
1042	Marques Mcgee	354459511	+1 219-945-5220	marquescgee@gmail.com	2star
1043	Daniella Hayes	218581736	+1 606-837-2032	daniellaayes@gmail.com	2star
1044	Anya Stafford	832311052	+1 346-221-4893	anyatafford@gmail.com	2star
1045	Kiana Mcdaniel	677984434	+1 248-262-4830	kianacdaniel@gmail.com	2star
1046	Natasha Odom	610583387	+1 201-677-7356	natashadom@gmail.com	2star
1047	Elizabeth Conrad	875308498	+1 310-208-3212	elizabethonrad@gmail.com	2star
1048	Marc Nichols	901373439	+1 309-205-9058	marcichols@gmail.com	2star
1049	Anne Newton	628193889	+1 415-574-0162	anneewton@gmail.com	2star
1050	Brent Golden	481348813	+1 505-644-0393	brentolden@gmail.com	2star
1051	Keely Baxter	840228122	+1 206-233-4244	keelyaxter@gmail.com	2star
1052	Allie Berger	629847261	+1 582-333-0589	allieerger@gmail.com	2star
1053	Naomi Burgess	175695565	+1 314-778-2532	naomiurgess@gmail.com	2star
1054	Giovanni Burch	981463740	+1 582-333-3084	giovanniurch@gmail.com	2star
1055	Adalyn Santiago	595101065	+1 582-302-2686	adalynantiago@gmail.com	2star
1056	Camilla Berg	204821711	+1 505-644-1814	camillaerg@gmail.com	2star
1057	Gabriela Duke	499219328	+1 248-208-2123	gabrielauke@gmail.com	2star
1058	Emilie Short	463585898	+1 208-510-7226	emiliehort@gmail.com	2star
1059	Kiara Bates	885865663	+1 303-648-1248	kiaraates@gmail.com	2star
1060	Faith Osborn	211846049	+1 217-803-8902	faithsborn@gmail.com	2star
1061	Miracle Watson	604116429	+1 212-967-9705	miracleatson@gmail.com	2star
1062	Karli Hatfield	608083749	+1 754-835-4657	karliatfield@gmail.com	2star
1063	Vincent Vasquez	629355355	+1 582-600-8475	vincentasquez@gmail.com	2star
1064	Darnell Frazier	141916950	+1 202-408-7899	darnellrazier@gmail.com	2star
1065	Clare Marshall	962649004	+1 217-252-6535	clarearshall@gmail.com	2star
1066	Gavin Raymond	499973061	+1 407-981-5785	gavinaymond@gmail.com	2star
1067	Reese Collier	206623018	+1 505-875-7793	reeseollier@gmail.com	2star
