Customer_Id	Address_Type	State	City	Street
1021	Home	California, USA	Los Angeles	Rose Street
1022	Home	California, USA	San Diego	Essex Court
1023	Home	California, USA	Los Angeles	Heather Lane
1024	Home	California, USA	Los Angeles	Cedar Avenue
1025	Home	California, USA	Sacremento	Rose Street
1026	Home	California, USA	Long Beach	Atlantic Avenue
1027	Home	California, USA	Long Beach	Williams Street
1028	Home	California, USA	San Diego	White Street
1029	Home	California, USA	BakersField	Highland Drive
1030	Home	California, USA	Los Angeles	Court Street
1031	Home	California, USA	BakersField	Heather Lane
1032	Home	California, USA	Los Angeles	Laurel Drive
1033	Home	California, USA	Anaheim	Rose Street
1034	Home	California, USA	Long Beach	Heather Lane
1035	Home	California, USA	Anaheim	Main Street
1036	Home	California, USA	Los Angeles	Warren Avenue
1037	Home	California, USA	San Francisco	Highland Drive
1038	Home	California, USA	Sacremento	Port Street
1039	Home	California, USA	BakersField	Crescent Street
1040	Home	California, USA	San Francisco	Cedar Lane
1041	Home	California, USA	San Francisco	Hanover Court
1042	Home	California, USA	San Diego	Warren Avenue
1043	Home	California, USA	Oakland	Franklin Avenue
1044	Home	California, USA	Fresno	Franklin Avenue
1045	Home	California, USA	Long Beach	Orchard Avenue
1046	Home	California, USA	San Diego	Willow Avenue
1047	Home	California, USA	Oakland	Olive Street
1048	Home	California, USA	Long Beach	Woodland Drive
1049	Home	California, USA	Sacremen+D4+D30:D48	Port Street
1050	Home	California, USA	BakersField	Willow Avenue
1051	Home	California, USA	Sacremento	Heather Lane
1052	Home	California, USA	BakersField	Franklin Avenue
1053	Home	California, USA	Los Angeles	Jefferson Avenue
1054	Home	California, USA	Los Angeles	Hanover Court
1055	Home	California, USA	Los Angeles	Main Street
1056	Home	California, USA	Oakland	Heather Lane
1057	Home	California, USA	San Diego	Monroe Street
1058	Home	California, USA	San Jose	Atlantic Avenue
1059	Home	California, USA	Oakland	Franklin Avenue
1060	Home	California, USA	Long Beach	Maiden Lane
1061	Home	California, USA	Long Beach	Heather Lane
1062	Home	California, USA	Fresno	Cedar Lane
1063	Home	California, USA	BakersField	Woodland Drive
1064	Home	California, USA	Fresno	Linden Avenue
1065	Home	California, USA	Fresno	Pleasant Street
1066	Home	California, USA	Oakland	Orchard Avenue
1067	Home	California, USA	San Jose	Crescent Street
1068	Home	California, USA	Long Beach	Charles Street
1069	Home	California, USA	Oakland	Andover Court
1070	Home	California, USA	Long Beach	Highland Drive
1071	Home	California, USA	Fresno	Devon Court
1072	Home	California, USA	Sacremento	Andover Court
1073	Home	California, USA	Long Beach	Woodland Drive
1074	Home	California, USA	San Diego	White Street
1075	Home	California, USA	Los Angeles	Fairway Drive
1076	Home	California, USA	San Diego	Forest Street
1077	Home	California, USA	Los Angeles	Front Street North
1078	Home	California, USA	Los Angeles	Willow Avenue
1079	Home	California, USA	Sacremento	Monroe Street
1080	Home	California, USA	Long Beach	Maiden Lane
1081	Home	California, USA	Long Beach	Essex Court
1082	Home	California, USA	San Diego	Monroe Street
1083	Home	California, USA	BakersField	Garfield Avenue
1084	Home	California, USA	Los Angeles	Laurel Drive
1085	Home	California, USA	BakersField	Heather Lane
1086	Home	California, USA	Los Angeles	Williams Street
1087	Home	California, USA	Anaheim	Hanover Court
1088	Home	California, USA	Long Beach	Ann Street
1089	Home	California, USA	Anaheim	River Street
1090	Home	California, USA	Los Angeles	Summit Avenue
1091	Home	California, USA	San Francisco	Arlington Avenue
1092	Home	California, USA	Sacremento	Port Street
1093	Home	California, USA	BakersField	Fairway Drive
1094	Home	California, USA	San Francisco	Fairway Drive
1095	Home	California, USA	San Francisco	Laurel Lane
1096	Home	California, USA	San Diego	Laurel Lane
1097	Home	California, USA	Oakland	River Street
1098	Home	California, USA	Fresno	Summit Avenue
1099	Home	California, USA	Long Beach	Warren Avenue
1100	Home	California, USA	San Diego	Main Street
1101	Home	California, USA	Oakland	Cedar Lane
1102	Home	California, USA	Long Beach	Hanover Court
1103	Home	California, USA	Sacremento	Country Club Road
1104	Home	California, USA	BakersField	Garfield Avenue
1105	Home	California, USA	Sacremento	Rose Street
1106	Home	California, USA	BakersField	Rose Street
1107	Home	California, USA	Los Angeles	Devon Court
1108	Home	California, USA	Los Angeles	Atlantic Avenue
1109	Home	California, USA	Los Angeles	Grand Avenue
1110	Home	California, USA	Oakland	Willow Avenue
1111	Home	California, USA	San Diego	Summit Avenue
1112	Home	California, USA	San Jose	Arlington Avenue
1113	Home	California, USA	Oakland	Franklin Avenue
1114	Home	California, USA	Long Beach	Laurel Drive
1115	Home	California, USA	Long Beach	Olive Street
1116	Home	California, USA	Fresno	Williams Street
1117	Home	California, USA	BakersField	Laurel Drive
1118	Home	California, USA	Fresno	Broad Street
1119	Home	California, USA	Fresno	Front Street North
1120	Home	California, USA	Oakland	John Street
1121	Home	California, USA	San Jose	Jefferson Avenue
1122	Home	California, USA	Long Beach	Cottage Street
1123	Home	California, USA	Oakland	River Street
1124	Home	California, USA	Long Beach	Broad Street
1125	Home	California, USA	Fresno	John Street
1126	Home	California, USA	Sacremento	Country Club Road
1127	Home	California, USA	Long Beach	Woodland Drive
1128	Home	California, USA	San Diego	Woodland Drive
1129	Home	California, USA	Anaheim	Orchard Avenue
1130	Home	California, USA	Los Angeles	Grand Avenue
1131	Home	California, USA	San Francisco	Laurel Drive
1132	Home	California, USA	Sacremento	Willow Avenue
1133	Home	California, USA	BakersField	Rose Street
1134	Home	California, USA	San Francisco	Cedar Lane
1135	Home	California, USA	San Francisco	River Street
1136	Home	California, USA	San Diego	Monroe Street
1137	Home	California, USA	Oakland	Atlantic Avenue
1138	Home	California, USA	Fresno	Laurel Drive
1139	Home	California, USA	Long Beach	Front Street North
1140	Home	California, USA	San Diego	Willow Avenue
1141	Home	California, USA	Oakland	River Street
1142	Home	California, USA	Long Beach	Fairway Drive
1143	Home	California, USA	Sacremento	Essex Court
1144	Home	California, USA	BakersField	Laurel Drive
1145	Home	California, USA	Sacremento	Willow Avenue
1146	Home	California, USA	BakersField	Devon Court
1147	Home	California, USA	Los Angeles	Franklin Avenue
1148	Home	California, USA	Los Angeles	Main Street
1149	Home	California, USA	Los Angeles	Hanover Court
1150	Home	California, USA	Oakland	Andover Court
1151	Home	California, USA	San Diego	Cedar Avenue
1152	Home	California, USA	San Jose	Front Street North
1153	Home	California, USA	Oakland	Maiden Lane
